,Dates,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
119,2020-05-28,89755.0,70920.0,4711.0,835135.5492715061,87017.91420682785,75018.53652166607
120,2020-05-29,85884.0,82627.0,4980.0,827469.424113565,90272.2452327374,79430.33065369763
121,2020-05-30,89706.0,86936.0,5185.0,819594.3157650817,93572.5701933566,84005.11404156165
122,2020-05-31,93349.0,91852.0,5408.0,811513.839202088,96913.054329765,88745.10646814699
123,2020-06-01,97008.0,95754.0,5608.0,900000.0,97008.0,95754.0
124,2020-06-02,101077.0,100285.0,5829.0,886030.7204357495,106374.64411247276,100356.63545177759
125,2020-06-03,106665.0,104071.0,6088.0,870978.4947095973,116385.52077163265,105397.98451877
126,2020-06-04,111900.0,108450.0,6363.0,854827.4307207483,127035.19810569688,110899.37117355484
127,2020-06-05,116302.0,113233.0,6649.0,837567.860863107,138303.50794738345,116890.63118950945
128,2020-06-06,120981.0,118695.0,6946.0,819200.0268129136,150155.59520723904,123406.3779798474
129,2020-06-07,126431.0,123848.0,7207.0,799740.9770780845,162544.68513378827,130476.3377881273
130,2020-06-08,129360.0,129095.0,7473.0,779224.5669982133,175412.08331353395,138125.34968825273
131,2020-06-09,133726.0,134670.0,7750.0,757701.4587445707,188687.1756709569,146373.36558447225
132,2020-06-10,143297.0,135206.0,8102.0,735239.1213201046,202287.42846851613,155235.45021137944
133,2020-06-11,141842.0,147195.0,8498.0,711921.8305594384,216118.3883066487,164721.78113391288
134,2020-06-12,145779.0,154330.0,8884.0,687850.6691288742,230073.6821237697,174837.64874735608
135,2020-06-13,149348.0,162379.0,9195.0,663143.52652639,244035.01719627238,185583.45627733765
136,2020-06-14,153106.0,169798.0,9520.0,637935.0990816408,257872.18113852802,196954.71977983124
137,2020-06-15,153178.0,180013.0,9900.0,612376.8899559589,271443.0419028859,208942.06814115524
138,2020-06-16,155227.0,186935.0,11903.0,586637.2091423532,284593.5477796736,221531.24307797328
139,2020-06-17,160384.0,194325.0,12237.0,560901.1734655095,297157.7273971966,234703.09913729393
140,2020-06-18,163248.0,204711.0,12573.0,535349.3934751281,308971.1969968225,248441.4095280494
141,2020-06-19,168269.0,213831.0,12948.0,510102.2990826386,319941.20742994064,262718.4934874207
142,2020-06-20,169469.0,227728.0,13254.0,485271.8039248686,330008.7883110651,277481.4077640663
143,2020-06-21,174387.0,237196.0,13699.0,460960.21308722295,339123.90116847644,292677.88574430073
144,2020-06-22,178014.0,248190.0,14011.0,437259.7862503749,347245.43294182577,308256.7808077994
145,2020-06-23,183022.0,258685.0,14476.0,414252.737690266,354341.195982135,324168.0663275991
146,2020-06-24,186514.0,271697.0,14894.0,392011.236278106,360387.9280517968,340362.8356700973
147,2020-06-25,189463.0,285637.0,15301.0,370597.40548037307,365371.29232457455,356793.30219505256
148,2020-06-26,197387.0,295881.0,15685.0,350063.32335881353,369285.8773856022,373412.79925558454
149,2020-06-27,203051.0,309713.0,16095.0,330451.02257044194,372135.19723138475,390175.78019817354
150,2020-06-28,210120.0,321723.0,16475.0,311792.49036754126,373931.69126979756,407037.81836266135
151,2020-06-29,215125.0,334822.0,16893.0,294109.6685976628,374696.7243200872,423955.6070822503
152,2020-06-30,220169.0,347912.0,17400.0,277414.45370362577,374460.58661287033,440886.9596835041
153,2020-07-01,226947.0,359860.0,17834.0,261708.69672351828,373262.4937901349,457790.8094863472
154,2020-07-02,227439.0,379892.0,18213.0,246984.20329069602,371150.5869052393,474627.20980406506
155,2020-07-03,235433.0,394227.0,18655.0,233222.73363378356,368181.93242291256,491357.3339433044
